date,d,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,temperature,fuel_price,cpi,unemployment
2023-01-01,d_1,2022_52,Sunday,7,1,2023,NewYear,National,,,1,0,1,51.9,3.16,294.6,4.54
2023-01-02,d_2,2023_01,Monday,1,1,2023,,,,,1,0,1,45.3,3.08,295.03,4.51
2023-01-03,d_3,2023_01,Tuesday,2,1,2023,,,,,1,0,1,54.3,3.12,295.11,4.56
2023-01-04,d_4,2023_01,Wednesday,3,1,2023,,,,,1,0,1,55.3,3.15,294.31,4.59
2023-01-05,d_5,2023_01,Thursday,4,1,2023,,,,,1,0,1,40.9,3.14,295.0,4.55
2023-01-06,d_6,2023_01,Friday,5,1,2023,,,,,1,0,1,44.3,3.11,295.1,4.61
2023-01-07,d_7,2023_01,Saturday,6,1,2023,,,,,1,0,1,51.5,3.11,295.02,4.55
2023-01-08,d_8,2023_01,Sunday,7,1,2023,,,,,0,0,0,49.4,3.11,294.8,4.61
2023-01-09,d_9,2023_02,Monday,1,1,2023,,,,,0,0,0,51.0,2.99,294.93,4.61
2023-01-10,d_10,2023_02,Tuesday,2,1,2023,,,,,0,0,0,46.9,3.14,295.09,4.59
2023-01-11,d_11,2023_02,Wednesday,3,1,2023,,,,,0,0,0,55.7,2.98,295.22,4.57
2023-01-12,d_12,2023_02,Thursday,4,1,2023,,,,,0,0,0,55.3,3.03,295.44,4.6
2023-01-13,d_13,2023_02,Friday,5,1,2023,,,,,0,0,0,51.9,3.2,295.65,4.63
2023-01-14,d_14,2023_02,Saturday,6,1,2023,,,,,0,0,0,57.3,3.17,295.12,4.7
2023-01-15,d_15,2023_02,Sunday,7,1,2023,,,,,0,0,0,54.2,3.23,295.07,4.65
2023-01-16,d_16,2023_03,Monday,1,1,2023,,,,,0,0,0,47.7,3.09,295.45,4.65
2023-01-17,d_17,2023_03,Tuesday,2,1,2023,,,,,0,0,0,53.9,3.03,295.53,4.76
2023-01-18,d_18,2023_03,Wednesday,3,1,2023,,,,,0,0,0,47.4,3.11,295.13,4.64
2023-01-19,d_19,2023_03,Thursday,4,1,2023,,,,,0,0,0,56.8,3.14,295.64,4.64
2023-01-20,d_20,2023_03,Friday,5,1,2023,,,,,0,0,0,52.3,3.15,295.73,4.65
2023-01-21,d_21,2023_03,Saturday,6,1,2023,,,,,0,0,0,51.8,3.24,295.88,4.57
2023-01-22,d_22,2023_03,Sunday,7,1,2023,,,,,0,0,0,49.5,3.12,296.09,4.6
2023-01-23,d_23,2023_04,Monday,1,1,2023,,,,,0,0,0,59.2,3.19,295.05,4.6
2023-01-24,d_24,2023_04,Tuesday,2,1,2023,,,,,0,0,0,52.4,3.08,295.42,4.66
2023-01-25,d_25,2023_04,Wednesday,3,1,2023,,,,,0,0,0,51.3,3.21,295.44,4.62
2023-01-26,d_26,2023_04,Thursday,4,1,2023,,,,,0,0,0,51.8,3.18,295.41,4.63
2023-01-27,d_27,2023_04,Friday,5,1,2023,,,,,0,0,0,56.4,3.12,295.21,4.68
2023-01-28,d_28,2023_04,Saturday,6,1,2023,,,,,0,0,0,55.8,3.17,294.89,4.67
2023-01-29,d_29,2023_04,Sunday,7,1,2023,,,,,0,0,0,56.2,3.18,295.54,4.62
2023-01-30,d_30,2023_05,Monday,1,1,2023,,,,,0,0,0,56.5,3.18,295.21,4.6
2023-01-31,d_31,2023_05,Tuesday,2,1,2023,,,,,0,0,0,65.3,3.35,295.57,4.69
2023-02-01,d_32,2023_05,Wednesday,3,2,2023,,,,,1,1,1,52.7,3.2,295.24,4.68
2023-02-02,d_33,2023_05,Thursday,4,2,2023,,,,,1,1,1,52.4,3.2,295.14,4.56
2023-02-03,d_34,2023_05,Friday,5,2,2023,,,,,1,1,1,51.1,3.06,295.69,4.62
2023-02-04,d_35,2023_05,Saturday,6,2,2023,,,,,1,1,1,58.5,3.16,295.67,4.65
2023-02-05,d_36,2023_05,Sunday,7,2,2023,,,,,1,1,1,61.3,3.22,295.86,4.68
2023-02-06,d_37,2023_06,Monday,1,2,2023,,,,,1,1,1,55.3,3.19,296.52,4.69
2023-02-07,d_38,2023_06,Tuesday,2,2,2023,,,,,1,1,1,51.9,3.36,295.78,4.66
2023-02-08,d_39,2023_06,Wednesday,3,2,2023,,,,,0,0,0,52.2,3.24,295.88,4.67
2023-02-09,d_40,2023_06,Thursday,4,2,2023,,,,,0,0,0,59.8,3.36,295.27,4.65
2023-02-10,d_41,2023_06,Friday,5,2,2023,,,,,0,0,0,60.5,3.27,295.21,4.61
2023-02-11,d_42,2023_06,Saturday,6,2,2023,,,,,0,0,0,59.8,3.27,296.37,4.63
2023-02-12,d_43,2023_06,Sunday,7,2,2023,,,,,0,0,0,54.0,3.27,295.39,4.65
2023-02-13,d_44,2023_07,Monday,1,2,2023,,,,,0,0,0,58.7,3.28,295.36,4.65
2023-02-14,d_45,2023_07,Tuesday,2,2,2023,Valentines,National,,,0,0,0,58.4,3.43,295.78,4.55
2023-02-15,d_46,2023_07,Wednesday,3,2,2023,,,,,0,0,0,59.2,3.11,295.77,4.63
2023-02-16,d_47,2023_07,Thursday,4,2,2023,,,,,0,0,0,62.7,3.14,295.47,4.65
2023-02-17,d_48,2023_07,Friday,5,2,2023,,,,,0,0,0,59.7,3.26,295.72,4.64
2023-02-18,d_49,2023_07,Saturday,6,2,2023,,,,,0,0,0,62.2,3.31,296.36,4.64
2023-02-19,d_50,2023_07,Sunday,7,2,2023,,,,,0,0,0,59.5,3.37,295.56,4.67
2023-02-20,d_51,2023_08,Monday,1,2,2023,,,,,0,0,0,60.8,3.36,295.34,4.6
2023-02-21,d_52,2023_08,Tuesday,2,2,2023,,,,,0,0,0,62.8,3.3,296.3,4.57
2023-02-22,d_53,2023_08,Wednesday,3,2,2023,,,,,0,0,0,52.7,3.42,296.13,4.63
2023-02-23,d_54,2023_08,Thursday,4,2,2023,,,,,0,0,0,58.6,3.42,295.71,4.69
2023-02-24,d_55,2023_08,Friday,5,2,2023,,,,,0,0,0,58.1,3.36,295.34,4.73
2023-02-25,d_56,2023_08,Saturday,6,2,2023,,,,,0,0,0,57.6,3.43,295.69,4.69
2023-02-26,d_57,2023_08,Sunday,7,2,2023,,,,,0,0,0,59.7,3.38,295.99,4.58
2023-02-27,d_58,2023_09,Monday,1,2,2023,,,,,0,0,0,68.8,3.32,296.49,4.64
2023-02-28,d_59,2023_09,Tuesday,2,2,2023,,,,,0,0,0,57.3,3.42,295.63,4.66
2023-03-01,d_60,2023_09,Wednesday,3,3,2023,,,,,1,1,1,66.8,3.38,296.03,4.66
2023-03-02,d_61,2023_09,Thursday,4,3,2023,,,,,1,1,1,53.8,3.38,296.35,4.67
2023-03-03,d_62,2023_09,Friday,5,3,2023,,,,,1,1,1,60.8,3.5,295.15,4.6
2023-03-04,d_63,2023_09,Saturday,6,3,2023,,,,,1,1,1,63.6,3.19,296.53,4.65
2023-03-05,d_64,2023_09,Sunday,7,3,2023,,,,,1,1,1,66.0,3.28,295.66,4.67
2023-03-06,d_65,2023_10,Monday,1,3,2023,,,,,1,1,1,67.0,3.3,296.28,4.68
2023-03-07,d_66,2023_10,Tuesday,2,3,2023,,,,,1,1,1,67.7,3.37,296.27,4.6
2023-03-08,d_67,2023_10,Wednesday,3,3,2023,,,,,0,0,0,62.3,3.39,296.62,4.62
2023-03-09,d_68,2023_10,Thursday,4,3,2023,,,,,0,0,0,62.0,3.29,296.43,4.5
