id,item_id,dept_id,cat_id,store_id,state_id,d,sales,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,temperature,fuel_price,cpi,unemployment,sell_price,day_of_month,week_of_year,quarter,is_weekend,is_event,snap
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_366,15,2024-01-01,2024_01,Monday,1,1,2024,NewYear,National,,,1,0,1,57.8,2.97,301.91,4.6,4.9,1,1,1,0,1,1
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_367,12,2024-01-02,2024_01,Tuesday,2,1,2024,,,,,1,0,1,46.8,2.97,302.16,4.6,4.9,2,1,1,0,1,1
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_368,13,2024-01-03,2024_01,Wednesday,3,1,2024,,,,,1,0,1,46.4,3.08,302.2,4.59,4.9,3,1,1,0,1,1
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_369,10,2024-01-04,2024_01,Thursday,4,1,2024,,,,,1,0,1,51.6,3.13,301.77,4.56,4.9,4,1,1,0,1,1
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_370,21,2024-01-05,2024_01,Friday,5,1,2024,,,,,1,0,1,54.9,3.06,301.66,4.67,4.9,5,1,1,0,1,1
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_371,16,2024-01-06,2024_01,Saturday,6,1,2024,,,,,1,0,1,50.8,2.96,302.19,4.53,4.9,6,1,1,1,1,1
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_372,17,2024-01-07,2024_01,Sunday,7,1,2024,,,,,1,0,1,57.5,2.96,302.35,4.58,4.68,7,1,1,1,1,1
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_373,11,2024-01-08,2024_02,Monday,1,1,2024,,,,,0,0,0,55.3,2.96,302.15,4.58,4.68,8,2,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_374,15,2024-01-09,2024_02,Tuesday,2,1,2024,,,,,0,0,0,55.3,2.93,301.34,4.61,4.68,9,2,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_375,17,2024-01-10,2024_02,Wednesday,3,1,2024,,,,,0,0,0,54.0,3.09,301.81,4.57,4.68,10,2,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_376,18,2024-01-11,2024_02,Thursday,4,1,2024,,,,,0,0,0,62.9,3.18,301.93,4.61,4.68,11,2,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_377,21,2024-01-12,2024_02,Friday,5,1,2024,,,,,0,0,0,50.4,3.09,301.04,4.59,4.68,12,2,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_378,29,2024-01-13,2024_02,Saturday,6,1,2024,,,,,0,0,0,41.5,2.92,301.97,4.52,4.68,13,2,1,1,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_379,23,2024-01-14,2024_02,Sunday,7,1,2024,,,,,0,0,0,59.7,3.09,302.71,4.6,4.77,14,2,1,1,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_380,19,2024-01-15,2024_03,Monday,1,1,2024,,,,,0,0,0,49.5,3.1,302.08,4.55,4.77,15,3,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_381,19,2024-01-16,2024_03,Tuesday,2,1,2024,,,,,0,0,0,52.5,3.28,302.43,4.52,4.77,16,3,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_382,17,2024-01-17,2024_03,Wednesday,3,1,2024,,,,,0,0,0,58.6,3.01,301.93,4.61,4.77,17,3,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_383,23,2024-01-18,2024_03,Thursday,4,1,2024,,,,,0,0,0,44.2,3.1,301.85,4.63,4.77,18,3,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_384,24,2024-01-19,2024_03,Friday,5,1,2024,,,,,0,0,0,46.1,3.27,302.05,4.64,4.77,19,3,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_385,13,2024-01-20,2024_03,Saturday,6,1,2024,,,,,0,0,0,44.5,3.18,301.59,4.64,4.77,20,3,1,1,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_386,21,2024-01-21,2024_03,Sunday,7,1,2024,,,,,0,0,0,48.7,3.19,301.54,4.52,4.96,21,3,1,1,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_387,13,2024-01-22,2024_04,Monday,1,1,2024,,,,,0,0,0,55.1,3.16,302.45,4.55,4.96,22,4,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_388,18,2024-01-23,2024_04,Tuesday,2,1,2024,,,,,0,0,0,55.7,3.18,302.51,4.72,4.96,23,4,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_389,17,2024-01-24,2024_04,Wednesday,3,1,2024,,,,,0,0,0,54.6,3.23,301.59,4.57,4.96,24,4,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_390,19,2024-01-25,2024_04,Thursday,4,1,2024,,,,,0,0,0,46.3,3.11,302.39,4.66,4.96,25,4,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_391,25,2024-01-26,2024_04,Friday,5,1,2024,,,,,0,0,0,42.0,3.25,301.99,4.59,4.96,26,4,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_392,18,2024-01-27,2024_04,Saturday,6,1,2024,,,,,0,0,0,54.0,3.07,302.17,4.63,4.96,27,4,1,1,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_393,16,2024-01-28,2024_04,Sunday,7,1,2024,,,,,0,0,0,51.6,3.21,302.24,4.6,4.69,28,4,1,1,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_394,18,2024-01-29,2024_05,Monday,1,1,2024,,,,,0,0,0,56.5,3.21,302.47,4.66,4.69,29,5,1,0,1,0
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,d_395,15,2024-01-30,2024_05,Tuesday,2,1,2024,,,,,0,0,0,57.9,3.15,302.13,4.64,4.69,30,5,1,0,1,0
