window,train_end,forecast_start,forecast_end,model,MAE,RMSE,WMAPE
1,2025-08-31,2025-09-01,2025-09-28,Seasonal Naive,1.741709,2.605552,0.261115
1,2025-08-31,2025-09-01,2025-09-28,Moving Average,1.453467,2.136731,0.221378
1,2025-08-31,2025-09-01,2025-09-28,XGBoost,3.333273,4.677074,0.507693
1,2025-08-31,2025-09-01,2025-09-28,LightGBM,3.277313,4.589629,0.499170
2,2025-10-05,2025-10-06,2025-11-02,Seasonal Naive,1.730230,2.642978,0.275908
2,2025-10-05,2025-10-06,2025-11-02,Moving Average,1.408573,2.167787,0.225729
2,2025-10-05,2025-10-06,2025-11-02,XGBoost,3.795425,5.232189,0.608230
2,2025-10-05,2025-10-06,2025-11-02,LightGBM,3.719380,5.176079,0.596043
3,2025-11-05,2025-11-06,2025-12-03,Seasonal Naive,1.678571,2.706285,0.275112
3,2025-11-05,2025-11-06,2025-12-03,Moving Average,1.719001,3.112588,0.256320
3,2025-11-05,2025-11-06,2025-12-03,XGBoost,3.757121,5.820294,0.560223
3,2025-11-05,2025-11-06,2025-12-03,LightGBM,3.667106,5.659587,0.546801
